Country,HDI,Population,Area,Gini,Neighbours
Norway,0.957,5223256.0,323802.0,25.8,3.0
Ireland,0.955,6378000.0,70273.0,34.3,1.0
Switzerland,0.955,8341600.0,41284.0,33.7,5.0
Hong Kong,0.949,7324300.0,1104.0,53.3,1.0
Iceland,0.949,334300.0,103000.0,0.0,0.0
Germany,0.947,81770900.0,357114.0,28.3,9.0
Sweden,0.945,9894888.0,450295.0,25.0,2.0
Australia,0.944,24117360.0,7692024.0,30.5,0.0
Netherlands,0.944,17019800.0,41850.0,30.9,2.0
Denmark,0.94,5717014.0,43094.0,24.0,1.0
Finland,0.938,5491817.0,338424.0,26.9,3.0
Singapore,0.938,5535000.0,710.0,48.1,0.0
United Kingdom,0.932,300.0,0.0,0.0,0.0
Belgium,0.931,11319511.0,30528.0,33.0,4.0
New Zealand,0.931,268767.0,18575.0,0.0,0.0
Canada,0.929,36155487.0,9984670.0,32.6,1.0
United States,0.926,300.0,0.0,0.0,0.0
Austria,0.922,8725931.0,83871.0,26.0,8.0
Israel,0.919,8527400.0,20770.0,39.2,4.0
Japan,0.919,126960000.0,377930.0,38.1,0.0
Liechtenstein,0.919,37623.0,160.0,0.0,2.0
Slovenia,0.917,2064188.0,20273.0,31.2,4.0
Luxembourg,0.916,576200.0,2586.0,30.8,3.0
South Korea,0.916,140.0,7747.0,0.0,0.0
Spain,0.904,46438422.0,505992.0,34.7,5.0
France,0.901,66710000.0,640679.0,32.7,8.0
Czech Republic,0.9,10558524.0,78865.0,26.0,4.0
Malta,0.895,425384.0,316.0,0.0,0.0
Estonia,0.892,1315944.0,45227.0,36.0,2.0
Italy,0.892,60665551.0,301336.0,36.0,6.0
United Arab Emirates,0.89,300.0,0.0,0.0,0.0
Greece,0.888,10858018.0,131990.0,34.3,4.0
Cyprus,0.887,847000.0,9251.0,0.0,1.0
Lithuania,0.882,2872294.0,65300.0,37.6,4.0
Poland,0.88,38437239.0,312679.0,34.1,7.0
Andorra,0.868,78014.0,468.0,0.0,2.0
Latvia,0.866,1961600.0,64559.0,36.6,4.0
Portugal,0.864,10374822.0,92090.0,38.5,1.0
Slovakia,0.86,5426252.0,49037.0,26.0,5.0
Hungary,0.854,9823000.0,93028.0,31.2,7.0
Saudi Arabia,0.854,32248200.0,2149690.0,0.0,7.0
Bahrain,0.852,1404900.0,765.0,0.0,0.0
Chile,0.851,18191900.0,756102.0,52.1,3.0
Croatia,0.851,4190669.0,56594.0,33.7,5.0
Qatar,0.848,2587564.0,11586.0,41.1,1.0
Argentina,0.845,43590400.0,2780400.0,44.5,5.0
Brunei,0.838,411900.0,5765.0,0.0,1.0
Montenegro,0.829,621810.0,13812.0,30.0,5.0
Romania,0.828,19861408.0,238391.0,30.0,5.0
Palau,0.826,17950.0,459.0,0.0,0.0
Kazakhstan,0.825,17753200.0,2724900.0,29.0,5.0
Russia,0.824,146599183.0,17124442.0,40.1,14.0
Belarus,0.823,9498700.0,207600.0,26.5,5.0
Turkey,0.82,78741053.0,783562.0,39.0,8.0
Uruguay,0.817,3480222.0,181034.0,39.7,2.0
Bulgaria,0.816,7153784.0,110879.0,28.2,5.0
Panama,0.815,3814672.0,75417.0,51.9,2.0
Bahamas,0.814,378040.0,13943.0,0.0,0.0
Barbados,0.814,285000.0,430.0,0.0,0.0
Oman,0.813,4420133.0,309500.0,0.0,3.0
Georgia,0.812,3720400.0,69700.0,41.3,4.0
Costa Rica,0.81,4890379.0,51100.0,50.7,2.0
Malaysia,0.81,31405416.0,330803.0,46.2,3.0
Kuwait,0.806,4183658.0,17818.0,0.0,2.0
Serbia,0.806,7076372.0,88361.0,27.8,8.0
Mauritius,0.804,1262879.0,2040.0,0.0,0.0
Seychelles,0.796,91400.0,452.0,65.8,0.0
Trinidad and Tobago,0.796,1349667.0,5130.0,40.3,0.0
Albania,0.795,2886026.0,28748.0,34.5,4.0
Cuba,0.783,11239004.0,109884.0,0.0,0.0
Iran,0.783,79369900.0,1648195.0,38.3,7.0
Sri Lanka,0.782,20966000.0,65610.0,40.3,1.0
Bosnia and Herzegovina,0.78,3531159.0,51209.0,36.2,3.0
Grenada,0.779,103328.0,344.0,0.0,0.0
Mexico,0.779,122273473.0,1964375.0,47.0,3.0
Saint Kitts and Nevis,0.779,9417.0,21.0,0.0,0.0
Ukraine,0.779,42692393.0,603700.0,26.4,7.0
Antigua and Barbuda,0.778,86295.0,442.0,0.0,0.0
Peru,0.777,31488700.0,1285216.0,48.1,5.0
Thailand,0.777,65327652.0,513120.0,40.0,4.0
Armenia,0.776,2994400.0,29743.0,30.9,4.0
North Macedonia,0.774,56940.0,464.0,0.0,0.0
Colombia,0.767,48759958.0,1141748.0,55.9,5.0
Brazil,0.765,206135893.0,8515767.0,54.7,10.0
China,0.761,1377422166.0,9640011.0,47.0,15.0
Ecuador,0.759,16545799.0,276841.0,49.3,2.0
Saint Lucia,0.759,9417.0,21.0,0.0,0.0
Azerbaijan,0.756,9730500.0,86600.0,33.7,5.0
Dominican Republic,0.756,10075045.0,48671.0,47.2,1.0
Moldova,0.75,3553100.0,33846.0,33.0,2.0
Algeria,0.748,40400000.0,2381741.0,35.3,7.0
Lebanon,0.744,5988000.0,10452.0,0.0,2.0
Fiji,0.743,867000.0,18272.0,42.8,0.0
Dominica,0.742,71293.0,751.0,0.0,0.0
Maldives,0.74,344023.0,300.0,37.4,0.0
Tunisia,0.74,11154400.0,163610.0,41.4,2.0
Saint Vincent and the Grenadines,0.738,9417.0,21.0,0.0,0.0
Suriname,0.738,541638.0,163820.0,52.9,4.0
